src,dest,path,EdgeType
CCL24-TRAN,CCL24-PROT,internal link,Gene-TRAN-Gene-PROT
CCL25-TRAN,CCL25-PROT,internal link,Gene-TRAN-Gene-PROT
CCL26-TRAN,CCL26-PROT,internal link,Gene-TRAN-Gene-PROT
CCL27-TRAN,CCL27-PROT,internal link,Gene-TRAN-Gene-PROT
CCL28-TRAN,CCL28-PROT,internal link,Gene-TRAN-Gene-PROT
CCL3-TRAN,CCL3-PROT,internal link,Gene-TRAN-Gene-PROT
CCL4-TRAN,CCL4-PROT,internal link,Gene-TRAN-Gene-PROT
CCL5-TRAN,CCL5-PROT,internal link,Gene-TRAN-Gene-PROT
CCL7-TRAN,CCL7-PROT,internal link,Gene-TRAN-Gene-PROT
CCL8-TRAN,CCL8-PROT,internal link,Gene-TRAN-Gene-PROT
CCN2-TRAN,CCN2-PROT,internal link,Gene-TRAN-Gene-PROT
CCNA1-TRAN,CCNA1-PROT,internal link,Gene-TRAN-Gene-PROT
CCNA2-TRAN,CCNA2-PROT,internal link,Gene-TRAN-Gene-PROT
CCNB1-TRAN,CCNB1-PROT,internal link,Gene-TRAN-Gene-PROT
CCNB2-TRAN,CCNB2-PROT,internal link,Gene-TRAN-Gene-PROT
CCNB3-TRAN,CCNB3-PROT,internal link,Gene-TRAN-Gene-PROT
CCND1-TRAN,CCND1-PROT,internal link,Gene-TRAN-Gene-PROT
CCND2-TRAN,CCND2-PROT,internal link,Gene-TRAN-Gene-PROT
CCND3-TRAN,CCND3-PROT,internal link,Gene-TRAN-Gene-PROT
CCNE1-TRAN,CCNE1-PROT,internal link,Gene-TRAN-Gene-PROT
CCNE2-TRAN,CCNE2-PROT,internal link,Gene-TRAN-Gene-PROT
CCNG1-TRAN,CCNG1-PROT,internal link,Gene-TRAN-Gene-PROT
CCNG2-TRAN,CCNG2-PROT,internal link,Gene-TRAN-Gene-PROT
CCR1-TRAN,CCR1-PROT,internal link,Gene-TRAN-Gene-PROT
CCR10-TRAN,CCR10-PROT,internal link,Gene-TRAN-Gene-PROT
CCR2-TRAN,CCR2-PROT,internal link,Gene-TRAN-Gene-PROT
CCR3-TRAN,CCR3-PROT,internal link,Gene-TRAN-Gene-PROT
CCR4-TRAN,CCR4-PROT,internal link,Gene-TRAN-Gene-PROT
CCR5-TRAN,CCR5-PROT,internal link,Gene-TRAN-Gene-PROT
CCR6-TRAN,CCR6-PROT,internal link,Gene-TRAN-Gene-PROT
CCR7-TRAN,CCR7-PROT,internal link,Gene-TRAN-Gene-PROT
CCR8-TRAN,CCR8-PROT,internal link,Gene-TRAN-Gene-PROT
CCR9-TRAN,CCR9-PROT,internal link,Gene-TRAN-Gene-PROT
CD14-TRAN,CD14-PROT,internal link,Gene-TRAN-Gene-PROT
CD19-TRAN,CD19-PROT,internal link,Gene-TRAN-Gene-PROT
CD209-TRAN,CD209-PROT,internal link,Gene-TRAN-Gene-PROT
CD22-TRAN,CD22-PROT,internal link,Gene-TRAN-Gene-PROT
CD247-TRAN,CD247-PROT,internal link,Gene-TRAN-Gene-PROT
CD28-TRAN,CD28-PROT,internal link,Gene-TRAN-Gene-PROT
CD36-TRAN,CD36-PROT,internal link,Gene-TRAN-Gene-PROT
CD38-TRAN,CD38-PROT,internal link,Gene-TRAN-Gene-PROT
CD3E-TRAN,CD3E-PROT,internal link,Gene-TRAN-Gene-PROT
CD4-TRAN,CD4-PROT,internal link,Gene-TRAN-Gene-PROT
CD40-TRAN,CD40-PROT,internal link,Gene-TRAN-Gene-PROT
CD40LG-TRAN,CD40LG-PROT,internal link,Gene-TRAN-Gene-PROT
CD72-TRAN,CD72-PROT,internal link,Gene-TRAN-Gene-PROT
CD79A-TRAN,CD79A-PROT,internal link,Gene-TRAN-Gene-PROT
CD79B-TRAN,CD79B-PROT,internal link,Gene-TRAN-Gene-PROT
CD80-TRAN,CD80-PROT,internal link,Gene-TRAN-Gene-PROT
CD82-TRAN,CD82-PROT,internal link,Gene-TRAN-Gene-PROT
